time,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
354.0059364149347,65.686,64.072,67.171,65.684,67.239,60.558,63.995,104.426
355.00593697745353,67.78,61.105,67.444,72.33,67.308,58.852,64.269,93.647
356.0063026845455,65.618,63.799,66.842,74.972,63.32,61.559,64.814,70.941
357.0063030971214,65.618,67.984,68.382,71.725,62.717,63.656,81.964,72.696
358.00630393158644,68.382,67.642,70.477,71.378,131.498,58.852,67.513,202.709
359.006304721348,72.771,61.98,70.149,67.789,63.93,63.93,63.995,66.22
360.00630523636937,72.572,67.033,68.992,71.45,62.443,62.443,71.762,60.496
361.0063056908548,66.842,67.306,66.561,71.45,65.483,58.852,204.873,59.826
362.0063060866669,66.287,65.009,71.962,69.007,62.507,59.736,63.93,59.887
363.00630675349385,65.892,67.033,67.444,71.45,62.107,65.143,69.61,60.762
364.0063073700294,68.585,67.984,66.561,76.541,63.93,65.143,70.823,71.615
365.00630835816264,81.195,144.09,68.054,118.623,74.132,59.736,85.829,81.994
366.00630921591073,87.801,66.706,71.962,71.45,69.336,65.143,65.753,63.125
367.00630963407457,213.033,61.433,66.561,65.079,62.443,72.317,75.627,64.007
368.00631249602884,65.618,67.642,67.444,64.466,66.094,58.852,74.132,69.194
369.0063132364303,67.171,68.585,66.561,69.62,69.407,63.591,72.036,65.009
370.00631379615515,73.173,67.915,69.867,209.589,69.062,206.03,79.539,69.124
371.00631484761834,82.162,67.711,73.783,71.45,66.911,64.54,69.407,65.283
372.00631524808705,65.959,63.125,73.455,66.559,78.936,98.083,74.132,66.493
373.0063159596175,73.173,71.287,71.688,64.466,69.336,58.852,87.371,81.112
374.0063166702166,66.287,74.863,66.561,69.345,69.407,65.076,66.911,61.043
375.0063172625378,161.782,63.125,83.647,66.834,69.062,59.736,70.22,118.505
376.00631790515035,72.497,70.405,81.88,79.864,70.621,64.54,71.159,61.707
377.0063184928149,67.444,73.304,78.655,71.725,62.717,65.143,64.814,59.887
378.0063215009868,65.686,61.707,87.281,106.898,62.507,133.185,69.062,72.423
379.0070975124836,71.888,61.043,167.177,71.652,67.513,65.143,65.82,61.37
380.00709804240614,66.774,61.98,66.561,77.154,75.627,60.01,70.895,66.22
381.00709860771894,65.283,64.072,68.054,67.789,79.017,64.54,70.823,65.283
382.0070992326364,74.59,64.007,74.94,72.257,63.656,67.171,66.629,61.043
383.00709989853203,68.921,62.316,74.666,77.484,72.646,61.231,64.204,61.105
384.0071005038917,65.283,65.283,68.382,66.022,78.735,66.629,63.93,61.433
385.0071011511609,75.472,65.216,73.783,77.075,66.629,72.845,66.629,59.887
386.0071015385911,67.78,62.316,73.783,82.299,67.308,59.949,70.292,68.242
387.0071020554751,65.35,67.102,71.688,66.627,67.239,67.171,80.231,60.824
388.00710264313966,75.8,66.706,73.173,75.048,64.54,72.243,67.513,65.283
389.00710335187614,66.493,63.19,72.845,78.976,62.443,61.231,63.995,65.283
390.0071057351306,65.35,60.824,68.054,66.627,62.443,68.726,63.995,62.917
391.0071061439812,77.284,61.105,66.911,76.541,65.483,120.288,67.513,59.826
392.007106654346,67.102,70.941,68.656,83.462,69.133,59.408,64.204,59.614
393.0071072941646,65.35,62.589,70.149,67.789,68.452,64.54,64.204,69.724
394.0071081407368,65.283,61.105,66.842,72.33,64.204,75.549,96.087,65.824
395.00710869114846,66.22,62.316,67.444,80.477,65.143,60.887,64.54,122.132
396.0074707502499,77.284,61.98,77.644,65.409,67.513,58.792,65.416,126.184
397.00747145246714,79.985,68.851,68.656,64.738,64.54,61.168,206.358,68.515
398.00747207552195,67.444,66.425,71.962,75.936,96.36,59.736,64.606,74.24
399.00747267808765,67.171,61.043,67.171,121.942,84.061,64.814,65.483,101.182
